id,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,T,SRA,SCE,SCEa,SSV,P,F,RGLB
C2BRLO01,14.2189,48.9269,559,Brloh,Brloh,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2BYNO01,14.799947,48.816603,475,Byňov,Byňov,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C2CBUD01,14.469722,48.951944,394.6,České Budějovice,"České Budějovice,Rožnov",AMS2,T,SRA,SCE,NA,SSV,P,F,RGLB_D
C2CERN01,14.9625,49.3575,580,Černovice,"Černovice, Dobešov",AKS2,T,SRA,SCE,NA,NA,NA,F,NA
C2CKRU01,14.33935,48.832242,554,Český Krumlov,"Český Krumlov, Přísečná",AKS2,T,SRA,SCE,NA,NA,NA,F,NA
C2DDVO01,14.453611,48.657222,613,Dolní Dvořiště,Dolní Dvořiště,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2HLAS01,14.7561,49.4981,547,Hlasivo,Hlasivo,AKS2,T,SRA,SCE,NA,SSV,NA,F,NA
C2HRNH01,14.8494,48.8181,479,Hranice,Hranice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2CHLT01,14.9358,48.9578,462,Chlum u Třeboně,Chlum u Třeboně,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2CHYN01,14.810556,49.414167,492,Chýnov,Chýnov,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2JHRA01,14.9575,49.1556,524,Jindřichův Hradec,"Jindřichův Hradec, Děbolín",AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C2JIST01,14.529167,49.484444,580,Jistebnice,Jistebnice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2KAML01,15.0633,49.2831,557,Kamenice nad Lipou,"Kamenice nad Lipou, Vodná",ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2KARD01,14.8558,49.1864,450,Kardašova Řečice,Kardašova Řečice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2KOVA01,14.2783,49.5172,529,Kovářov,Kovářov,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2KREM01,14.3028,48.9064,524,Křemže,"Křemže, Mříč",AKS3,T,SRA,SCE,NA,NA,NA,NA,NA
C2LEDE01,14.618333,48.933333,496,Ledenice,Ledenice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2LIPC01,14.764722,48.910556,469,Lipnice,Lipnice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2LIPN01,14.2383,48.6336,730,Lipno,Lipno,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2LODH01,14.9625,49.2133,526,Lodhéřov,Lodhéřov,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2MALO01,14.5803,48.6856,694,Malonty,Malonty,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2MILE01,14.3706,49.4517,442,Milevsko,Milevsko,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2NADV01,14.4653,49.5169,616,Nadějkov,"Nadějkov, Větrov",AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C2NBYS01,15.1,49.0189,583,Nová Bystřice,Nová Bystřice,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C2NETR01,14.4561,48.7931,616,Netřebice,Netřebice,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
